,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,time_in_seconds,on_name,off_name,on_id,off_id,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short
10,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713268,78,substitution,"Substitution, Everton. Tom Davies replaces Amadou Onana.","[13389, 108096]",4676,Tom Davies,Amadou Onana,13389,108096,p173807,p449871,190,577,7,8,EVE
11,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713269,78,substitution,"Substitution, Brentford. Mikkel Damsgaard replaces Bryan Mbeumo.","[49731, 66360]",4654,Mikkel Damsgaard,Bryan Mbeumo,49731,66360,p440089,p446008,580,95,130,4,BRE
12,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713214,69,substitution,"Substitution, Brentford. Vitaly Janelt replaces Christian Nørgaard.","[23194, 42331]",4086,Vitaly Janelt,Christian Nørgaard,23194,42331,p204580,p128295,86,79,130,4,BRE
13,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713211,68,substitution,"Substitution, Brentford. Keane Lewis-Potter replaces Yoane Wissa.","[24369, 117497]",4062,Keane Lewis-Potter,Yoane Wissa,24369,117497,p249231,p216646,515,89,130,4,BRE
14,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713213,68,substitution,"Substitution, Brentford. Shandon Baptiste replaces Zanka.","[24773, 7103]",4059,Shandon Baptiste,Zanka,24773,7103,p432160,p48760,94,595,130,4,BRE
15,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713212,68,substitution,"Substitution, Everton. Michael Keane replaces Mason Holgate because of an injury.","[4333, 10564]",4045,Michael Keane,Mason Holgate,4333,10564,p106611,p194164,180,192,7,8,EVE
16,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713331,88,substitution,"Substitution, Brighton and Hove Albion. Jan Paul van Hecke replaces Danny Welbeck.","[76090, 3452]",5270,Jan Paul van Hecke,Danny Welbeck,76090,3452,p469142,p50175,544,103,131,5,BHA
17,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713296,82,substitution,"Substitution, Leeds United. Joe Gelhardt replaces Brenden Aaronson.","[51754, 63289]",4885,Joe Gelhardt,Brenden Aaronson,51754,63289,p462635,p427637,242,246,9,11,LEE
18,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713274,79,substitution,"Substitution, Brighton and Hove Albion. Kaoru Mitoma replaces Pervis Estupiñán.","[117732, 31904]",4706,Kaoru Mitoma,Pervis Estupiñán,117732,31904,p451340,p204214,124,586,131,5,BHA
19,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713275,79,substitution,"Substitution, Brighton and Hove Albion. Levi Colwill replaces Leandro Trossard.","[51229, 20486]",4694,Levi Colwill,Leandro Trossard,51229,20486,p460028,p116216,559,111,131,5,BHA
20,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713250,74,substitution,"Substitution, Leeds United. Adam Forshaw replaces Jack Harrison.","[3877, 33135]",4414,Adam Forshaw,Jack Harrison,3877,33135,p80179,p221399,224,233,9,11,LEE
21,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713233,70,substitution,"Substitution, Brighton and Hove Albion. Tariq Lamptey replaces Joël Veltman.","[23704, 4874]",4173,Tariq Lamptey,Joël Veltman,23704,4874,p232792,p111478,114,109,131,5,BHA
22,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713235,70,substitution,"Substitution, Brighton and Hove Albion. Enock Mwepu replaces Solly March.","[25467, 8171]",4168,Enock Mwepu,Solly March,25467,8171,p423649,p109345,118,107,131,5,BHA
23,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713183,59,substitution,"Substitution, Leeds United. Mateusz Klich replaces Marc Roca.","[13089, 22656]",3530,Mateusz Klich,Marc Roca,13089,22656,p72222,p234370,223,245,9,11,LEE
24,4,"Sat 27 Aug 2022, 15:00 BST",Brighton and Hove Albion,Leeds United,1,0,1713182,59,substitution,"Substitution, Leeds United. Luis Sinisterra replaces Daniel James.","[50498, 13797]",3509,Luis Sinisterra,Daniel James,50498,13797,p224995,p200617,508,231,9,11,LEE
25,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713352,90 +2,substitution,"Substitution, Chelsea. Ben Chilwell replaces Marc Cucurella.","[13491, 27277]",5502,Ben Chilwell,Marc Cucurella,13491,27277,p172850,p179268,139,112,4,6,CHE
26,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713329,89,substitution,"Substitution, Leicester City. Wilfred Ndidi replaces Youri Tielemans.","[20479, 5865]",5296,Wilfred Ndidi,Youri Tielemans,20479,5865,p203341,p166989,265,259,26,10,LEI
27,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713252,75,substitution,"Substitution, Chelsea. Christian Pulisic replaces Raheem Sterling.","[15559, 4316]",4474,Christian Pulisic,Raheem Sterling,15559,4316,p176413,p103955,140,304,4,6,CHE
28,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713253,75,substitution,"Substitution, Chelsea. Mateo Kovacic replaces Jorginho.","[12520, 5682]",4464,Mateo Kovacic,Jorginho,12520,5682,p91651,p85955,132,130,4,6,CHE
29,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713165,55,substitution,"Substitution, Leicester City. Kelechi Iheanacho replaces Boubakary Soumaré.","[13554, 50247]",3288,Kelechi Iheanacho,Boubakary Soumaré,13554,50247,p173515,p225902,262,269,26,10,LEI
30,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713163,55,substitution,"Substitution, Leicester City. Ayoze Pérez replaces Dennis Praet.","[10487, 5860]",3276,Ayoze Pérez,Dennis Praet,10487,5860,p168580,p106837,260,549,26,10,LEI
31,4,"Sat 27 Aug 2022, 15:00 BST",Chelsea,Leicester City,2,1,1713123,46,substitution,"Substitution, Chelsea. César Azpilicueta replaces Mason Mount.","[4496, 14580]",2700,César Azpilicueta,Mason Mount,4496,14580,p41328,p184341,127,142,4,6,CHE
32,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713289,83,substitution,"Substitution, Liverpool. Bobby Clark replaces Trent Alexander-Arnold.","[67213, 14732]",4939,Bobby Clark,Trent Alexander-Arnold,67213,14732,p491970,p169187,584,285,10,12,LIV
33,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713288,82,substitution,"Substitution, Bournemouth. Owen Bevan replaces Chris Mepham.","[117800, 14063]",4908,Owen Bevan,Chris Mepham,117800,14063,p518906,p223911,598,71,127,3,BOU
34,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713276,82,substitution,"Substitution, Bournemouth. Emiliano Marcondes replaces Ben Pearson because of an injury.","[32388, 10566]",4873,Emiliano Marcondes,Ben Pearson,32388,10566,p133845,p156687,63,68,127,3,BOU
35,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713257,77,substitution,"Substitution, Bournemouth. Ben Pearson replaces Lewis Cook.","[10566, 10766]",4615,Ben Pearson,Lewis Cook,10566,10766,p156687,p155408,68,67,127,3,BOU
36,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713221,70,substitution,"Substitution, Liverpool. Stefan Bajcetic replaces Jordan Henderson.","[114296, 3712]",4167,Stefan Bajcetic,Jordan Henderson,114296,3712,p535928,p56979,564,275,10,12,LIV
37,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713218,69,substitution,"Substitution, Liverpool. James Milner replaces Roberto Firmino.","[2100, 13511]",4128,James Milner,Roberto Firmino,2100,13511,p15157,p92217,274,279,10,12,LIV
38,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713219,69,substitution,"Substitution, Liverpool. Kostas Tsimikas replaces Andrew Robertson.","[16006, 10458]",4125,Kostas Tsimikas,Andrew Robertson,16006,10458,p214285,p122798,292,284,10,12,LIV
39,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713119,46,substitution,"Substitution, Bournemouth. Philip Billing replaces Ryan Christie.","[8882, 15572]",2700,Philip Billing,Ryan Christie,8882,15572,p168991,p158499,70,69,127,3,BOU
40,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713118,46,substitution,"Substitution, Liverpool. Fábio Carvalho replaces Harvey Elliott.","[32289, 33185]",2700,Fábio Carvalho,Harvey Elliott,32289,33185,p244858,p444884,296,294,10,12,LIV
41,4,"Sat 27 Aug 2022, 15:00 BST",Liverpool,AFC Bournemouth,9,0,1713117,46,substitution,"Substitution, Bournemouth. Dominic Solanke replaces Adam Smith.","[10443, 3512]",2700,Dominic Solanke,Adam Smith,10443,3512,p154566,p54469,66,57,127,3,BOU
42,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713340,89,substitution,"Substitution, Manchester City. Cole Palmer replaces Kevin De Bruyne.","[49293, 4288]",5300,Cole Palmer,Kevin De Bruyne,49293,4288,p244851,p61366,316,301,11,13,MCI
43,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713306,84,substitution,"Substitution, Manchester City. Sergio Gómez replaces Erling Haaland.","[49139, 65970]",5009,Sergio Gómez,Erling Haaland,49139,65970,p437468,p223094,587,318,11,13,MCI
44,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713263,74,substitution,"Substitution, Crystal Palace. Jean-Philippe Mateta replaces Jordan Ayew.","[20874, 5595]",4424,Jean-Philippe Mateta,Jordan Ayew,20874,5595,p231747,p80146,168,159,6,7,CRY
45,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713260,74,substitution,"Substitution, Crystal Palace. Michael Olise replaces Nathaniel Clyne.","[32989, 4604]",4410,Michael Olise,Nathaniel Clyne,32989,4604,p443661,p57328,171,157,6,7,CRY
46,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713224,67,substitution,"Substitution, Crystal Palace. Will Hughes replaces Odsonne Édouard.","[8589, 16788]",3986,Will Hughes,Odsonne Édouard,8589,16788,p108413,p199670,163,166,6,7,CRY
47,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713195,61,substitution,"Substitution, Manchester City. Julián Álvarez replaces Riyad Mahrez.","[52723, 8983]",3643,Julián Álvarez,Riyad Mahrez,52723,8983,p461358,p103025,319,303,11,13,MCI
48,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713194,61,substitution,"Substitution, Manchester City. Ilkay Gündogan replaces João Cancelo.","[5101, 5051]",3624,Ilkay Gündogan,João Cancelo,5101,5051,p59859,p121145,300,306,11,13,MCI
49,4,"Sat 27 Aug 2022, 15:00 BST",Manchester City,Crystal Palace,4,2,1713184,57,substitution,"Substitution, Crystal Palace. Chris Richards replaces Tyrick Mitchell because of an injury.","[50842, 24334]",3385,Chris Richards,Tyrick Mitchell,50842,24334,p427623,p244723,530,170,6,7,CRY
50,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713475,90 +5,substitution,"Substitution, Arsenal. Rob Holding replaces Martin Ødegaard.","[11575, 11419]",5653,Rob Holding,Martin Ødegaard,11575,11419,p156074,p184029,5,7,1,1,ARS
51,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713469,89,substitution,"Substitution, Arsenal. Takehiro Tomiyasu replaces Gabriel Jesus.","[115169, 19680]",5283,Takehiro Tomiyasu,Gabriel Jesus,115169,19680,p223723,p205651,14,28,1,1,ARS
52,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713468,88,substitution,"Substitution, Fulham. Jay Stansfield replaces Tim Ream.","[66563, 4276]",5254,Jay Stansfield,Tim Ream,66563,4276,p490146,p82514,219,201,34,9,FUL
53,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713467,88,substitution,"Substitution, Fulham. Nathaniel Chalobah replaces João Palhinha.","[4105, 19858]",5242,Nathaniel Chalobah,João Palhinha,4105,19858,p89085,p154296,203,220,34,9,FUL
54,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713455,79,substitution,"Substitution, Fulham. Issa Diop replaces Andreas Pereira.","[49884, 10476]",4719,Issa Diop,Andreas Pereira,49884,10476,p219924,p156689,470,346,34,9,FUL
55,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713456,79,substitution,"Substitution, Fulham. Kevin Mbabu replaces Kenny Tete.","[4706, 4880]",4698,Kevin Mbabu,Kenny Tete,4706,4880,p120721,p167074,532,215,34,9,FUL
56,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713442,69,substitution,"Substitution, Fulham. Tom Cairney replaces Neeskens Kebano.","[3894, 20178]",4098,Tom Cairney,Neeskens Kebano,3894,20178,p76357,p92259,200,204,34,9,FUL
57,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713435,61,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Kieran Tierney.","[14451, 12185]",3623,Eddie Nketiah,Kieran Tierney,14451,12185,p205533,p192895,11,8,1,1,ARS
58,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713654,90 +1,substitution,"Substitution, Aston Villa. Cameron Archer replaces John McGinn.","[25281, 51423]",5419,Cameron Archer,John McGinn,25281,51423,p433979,p122806,54,37,2,2,AVL
59,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713626,78,substitution,"Substitution, Aston Villa. Leon Bailey replaces Danny Ings.","[20489, 8245]",4642,Leon Bailey,Danny Ings,20489,8245,p215711,p84939,45,30,2,2,AVL
60,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713609,66,substitution,"Substitution, Aston Villa. Jacob Ramsey replaces Douglas Luiz.","[19888, 24626]",3933,Jacob Ramsey,Douglas Luiz,19888,24626,p232653,p230046,47,46,2,2,AVL
61,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713605,66,substitution,"Substitution, Aston Villa. Emiliano Buendía replaces Philippe Coutinho.","[26408, 4525]",3932,Emiliano Buendía,Philippe Coutinho,26408,4525,p195546,p84583,42,29,2,2,AVL
62,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713606,65,substitution,"Substitution, West Ham United. Michail Antonio replaces Gianluca Scamacca.","[9595, 11434]",3866,Michail Antonio,Gianluca Scamacca,9595,11434,p57531,p195899,458,529,25,19,WHU
63,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713563,46,substitution,"Substitution, West Ham United. Saïd Benrahma replaces Emerson.","[20517, 16803]",2700,Saïd Benrahma,Emerson,20517,16803,p172841,p109533,464,545,25,19,WHU
64,4,"Sun 28 Aug 2022, 14:00 BST",Aston Villa,West Ham United,0,1,1713519,23,substitution,"Substitution, West Ham United. Vladimír Coufal replaces Ben Johnson because of an injury.","[7336, 15212]",1364,Vladimír Coufal,Ben Johnson,7336,15212,p164555,p222018,463,471,25,19,WHU
65,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713669,90 +9,substitution,"Substitution, Newcastle United. Matt Ritchie replaces Allan Saint-Maximin because of an injury.","[3934, 12817]",5933,Matt Ritchie,Allan Saint-Maximin,3934,12817,p56983,p170137,350,368,23,15,NEW
66,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713670,90 +9,substitution,"Substitution, Wolverhampton Wanderers. Leander Dendoncker replaces João Moutinho.","[5866, 11259]",5880,Leander Dendoncker,João Moutinho,5866,11259,p151589,p19624,479,503,38,20,WOL
67,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713641,84,substitution,"Substitution, Wolverhampton Wanderers. Hwang Hee-Chan replaces Pedro Neto.","[20337, 21998]",5000,Hwang Hee-Chan,Pedro Neto,20337,21998,p184754,p247632,481,486,38,20,WOL
68,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713642,84,substitution,"Substitution, Newcastle United. Elliot Anderson replaces Joe Willock.","[51593, 14446]",4982,Elliot Anderson,Joe Willock,51593,14446,p215379,p200089,552,373,23,15,NEW
69,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713638,83,substitution,"Substitution, Newcastle United. Jacob Murphy replaces Miguel Almirón.","[9662, 54312]",4977,Jacob Murphy,Miguel Almirón,9662,54312,p114243,p179018,365,369,23,15,NEW
70,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713639,83,substitution,"Substitution, Wolverhampton Wanderers. Daniel Podence replaces Gonçalo Guedes.","[11362, 11130]",4972,Daniel Podence,Gonçalo Guedes,11362,11130,p200600,p181284,483,579,38,20,WOL
71,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713604,65,substitution,"Substitution, Newcastle United. Ryan Fraser replaces Chris Wood.","[8052, 3756]",3876,Ryan Fraser,Chris Wood,8052,3756,p90105,p60689,359,354,23,15,NEW
72,4,"Sun 28 Aug 2022, 14:00 BST",Wolverhampton Wanderers,Newcastle United,1,1,1713603,65,substitution,"Substitution, Newcastle United. Matt Targett replaces Dan Burn.","[4815, 8707]",3870,Matt Targett,Dan Burn,4815,8707,p169359,p78916,367,358,23,15,NEW
73,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713775,90 +1,substitution,"Substitution, Tottenham Hotspur. Djed Spence replaces Rodrigo Bentancur because of an injury.","[23764, 22802]",5437,Djed Spence,Rodrigo Bentancur,23764,22802,p232859,p202993,522,440,21,18,TOT
74,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713774,90,substitution,"Substitution, Nottingham Forest. Sam Surridge replaces Brennan Johnson.","[13195, 49374]",5395,Sam Surridge,Brennan Johnson,13195,49374,p217331,p242898,391,394,15,16,NFO
75,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713770,83,substitution,"Substitution, Tottenham Hotspur. Yves Bissouma replaces Dejan Kulusevski.","[50245, 49316]",4930,Yves Bissouma,Dejan Kulusevski,50245,49316,p227127,p445044,444,446,21,18,TOT
76,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713753,75,substitution,"Substitution, Nottingham Forest. Taiwo Awoniyi replaces Steve Cook.","[15340, 8045]",4484,Taiwo Awoniyi,Steve Cook,15340,8045,p210156,p56917,397,379,15,16,NFO
77,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713760,75,substitution,"Substitution, Nottingham Forest. Cheikhou Kouyaté replaces Ryan Yates.","[5861, 14238]",4466,Cheikhou Kouyaté,Ryan Yates,5861,14238,p55037,p204968,583,387,15,16,NFO
78,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713761,75,substitution,"Substitution, Nottingham Forest. Remo Freuler replaces Lewis O'Brien.","[22624, 24353]",4463,Remo Freuler,Lewis O'Brien,22624,24353,p89076,p243345,582,524,15,16,NFO
79,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713757,74,substitution,"Substitution, Tottenham Hotspur. Richarlison replaces Son Heung-Min.","[24630, 4999]",4400,Richarlison,Son Heung-Min,24630,4999,p212319,p85971,454,428,21,18,TOT
80,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713749,74,substitution,"Substitution, Tottenham Hotspur. Ryan Sessegnon replaces Ivan Perisic.","[14656, 12901]",4382,Ryan Sessegnon,Ivan Perisic,14656,12901,p184349,p45034,436,448,21,18,TOT
81,4,"Sun 28 Aug 2022, 16:30 BST",Nottingham Forest,Tottenham Hotspur,0,2,1713744,69,substitution,"Substitution, Nottingham Forest. Emmanuel Dennis replaces Jesse Lingard.","[20701, 4337]",4130,Emmanuel Dennis,Jesse Lingard,20701,4337,p230251,p109322,585,527,15,16,NFO
