,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,on_name,off_name,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,on_id,off_id
10,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707583,84,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",Eddie Nketiah,Gabriel Jesus,p205533,p205651,11,28,14451,19680
11,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707543,77,substitution,"Substitution, Arsenal. Kieran Tierney replaces Oleksandr Zinchenko.","[12185, 19620]",Kieran Tierney,Oleksandr Zinchenko,p192895,p206325,8,313,12185,19620
12,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707531,75,substitution,"Substitution, Arsenal. Takehiro Tomiyasu replaces Ben White.","[115169, 14548]",Takehiro Tomiyasu,Ben White,p223723,p198869,14,10,115169,14548
13,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707518,70,substitution,"Substitution, Leicester City. Kelechi Iheanacho replaces Jamie Vardy.","[13554, 8979]",Kelechi Iheanacho,Jamie Vardy,p173515,p101668,262,255,13554,8979
14,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707498,63,substitution,"Substitution, Leicester City. Patson Daka replaces Daniel Amartey.","[24994, 12306]",Patson Daka,Daniel Amartey,p245419,p155569,271,257,24994,12306
15,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707499,63,substitution,"Substitution, Leicester City. Dennis Praet replaces Youri Tielemans.","[5860, 5865]",Dennis Praet,Youri Tielemans,p106837,p166989,549,259,5860,5865
16,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707600,87,substitution,"Substitution, Newcastle United. Chris Wood replaces Callum Wilson.","[3756, 8454]",Chris Wood,Callum Wilson,p60689,p75115,354,356,3756,8454
17,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707535,76,substitution,"Substitution, Newcastle United. Sean Longstaff replaces Joe Willock.","[14897, 14446]",Sean Longstaff,Joe Willock,p180135,p200089,370,373,14897,14446
18,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707536,75,substitution,"Substitution, Newcastle United. Jacob Murphy replaces Allan Saint-Maximin.","[9662, 12817]",Jacob Murphy,Allan Saint-Maximin,p114243,p170137,365,368,9662,12817
19,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707534,75,substitution,"Substitution, Brighton and Hove Albion. Tariq Lamptey replaces Leandro Trossard.","[23704, 20486]",Tariq Lamptey,Leandro Trossard,p232792,p116216,114,111,23704,20486
20,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707537,74,substitution,"Substitution, Brighton and Hove Albion. Kaoru Mitoma replaces Solly March.","[117732, 8171]",Kaoru Mitoma,Solly March,p451340,p109345,124,107,117732,8171
21,2,"Sat 13 Aug 2022, 15:00 BST",Brighton and Hove Albion,Newcastle United,0,0,1707501,65,substitution,"Substitution, Brighton and Hove Albion. Enock Mwepu replaces Adam Lallana.","[25467, 4618]",Enock Mwepu,Adam Lallana,p423649,p39155,118,101,25467,4618
22,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707625,90,substitution,"Substitution, Bournemouth. Jamal Lowe replaces Kieffer Moore because of an injury.","[7887, 10076]",Jamal Lowe,Kieffer Moore,p128309,p128340,61,62,7887,10076
23,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707579,82,substitution,"Substitution, Manchester City. Rico Lewis replaces Kyle Walker.","[99281, 3955]",Rico Lewis,Kyle Walker,p477064,p58621,573,299,99281,3955
24,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707567,80,substitution,"Substitution, Bournemouth. Marcos Senesi replaces Marcus Tavernier.","[54989, 14846]",Marcos Senesi,Marcus Tavernier,p221466,p201658,576,535,54989,14846
25,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707539,74,substitution,"Substitution, Manchester City. Julián Álvarez replaces Erling Haaland.","[52723, 65970]",Julián Álvarez,Erling Haaland,p461358,p223094,319,318,52723,65970
26,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707507,65,substitution,"Substitution, Manchester City. Bernardo Silva replaces Ilkay Gündogan.","[5067, 5101]",Bernardo Silva,Ilkay Gündogan,p165809,p59859,311,300,5067,5101
27,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707509,64,substitution,"Substitution, Manchester City. John Stones replaces Rúben Dias.","[4505, 16431]",John Stones,Rúben Dias,p97299,p171314,302,312,4505,16431
28,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707508,64,substitution,"Substitution, Bournemouth. Philip Billing replaces Lewis Cook.","[8882, 10766]",Philip Billing,Lewis Cook,p168991,p155408,70,67,8882,10766
29,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707506,63,substitution,"Substitution, Bournemouth. Junior Stanislas replaces Ryan Christie.","[3766, 15572]",Junior Stanislas,Ryan Christie,p56872,p158499,58,69,3766,15572
30,2,"Sat 13 Aug 2022, 15:00 BST",Manchester City,AFC Bournemouth,4,0,1707418,46,substitution,"Substitution, Manchester City. Jack Grealish replaces Phil Foden.","[4260, 14805]",Jack Grealish,Phil Foden,p114283,p209244,305,314,4260,14805
31,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707631,90 +1,substitution,"Substitution, Southampton. Jack Stephens replaces Moussa Djenepo because of an injury.","[4612, 52153]",Jack Stephens,Moussa Djenepo,p88900,p431131,404,418,4612,52153
32,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707615,88,substitution,"Substitution, Leeds United. Adam Forshaw replaces Marc Roca.","[3877, 22656]",Adam Forshaw,Marc Roca,p80179,p234370,224,245,3877,22656
33,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707589,84,substitution,"Substitution, Leeds United. Luis Sinisterra replaces Daniel James.","[50498, 13797]",Luis Sinisterra,Daniel James,p224995,p200617,508,231,50498,13797
34,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707588,84,substitution,"Substitution, Leeds United. Mateusz Klich replaces Jack Harrison.","[13089, 33135]",Mateusz Klich,Jack Harrison,p72222,p221399,223,233,13089,33135
35,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707520,70,substitution,"Substitution, Southampton. Sékou Mara replaces Jan Bednarek.","[127416, 19589]",Sékou Mara,Jan Bednarek,p476888,p171771,528,410,127416,19589
36,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707485,62,substitution,"Substitution, Southampton. Joe Aribo replaces Stuart Armstrong.","[13956, 12186]",Joe Aribo,Stuart Armstrong,p193204,p91047,512,405,13956,12186
37,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707486,61,substitution,"Substitution, Southampton. Adam Armstrong replaces Mohamed Elyounoussi.","[9199, 15967]",Adam Armstrong,Mohamed Elyounoussi,p155511,p96787,408,406,9199,15967
38,2,"Sat 13 Aug 2022, 15:00 BST",Southampton,Leeds United,2,2,1707314,28,substitution,"Substitution, Leeds United. Daniel James replaces Patrick Bamford.","[13797, 4291]",Daniel James,Patrick Bamford,p200617,p106617,231,227,13797,4291
39,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707624,90 +3,substitution,"Substitution, Fulham. Kevin Mbabu replaces Bobby De Cordova-Reid.","[4706, 8192]",Kevin Mbabu,Bobby De Cordova-Reid,p120721,p96994,532,205,4706,8192
40,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707623,90 +2,substitution,"Substitution, Fulham. Tyrese Francois replaces Kenny Tete because of an injury.","[24704, 4880]",Tyrese Francois,Kenny Tete,p432931,p167074,521,215,24704,4880
41,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707591,86,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira because of an injury.","[3894, 10476]",Tom Cairney,Andreas Pereira,p76357,p156689,200,346,3894,10476
42,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707571,83,substitution,"Substitution, Fulham. Jay Stansfield replaces Neeskens Kebano because of an injury.","[66563, 20178]",Jay Stansfield,Neeskens Kebano,p490146,p92259,219,204,66563,20178
43,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707546,78,substitution,"Substitution, Wolverhampton Wanderers. Adama Traoré replaces Pedro Neto.","[4979, 21998]",Adama Traoré,Pedro Neto,p159533,p247632,491,486,4979,21998
44,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707547,78,substitution,"Substitution, Wolverhampton Wanderers. Nélson Semedo replaces Jonny.","[16642, 20277]",Nélson Semedo,Jonny,p200402,p114128,482,477,16642,20277
45,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707455,58,substitution,"Substitution, Wolverhampton Wanderers. Gonçalo Guedes replaces Hwang Hee-Chan.","[11130, 20337]",Gonçalo Guedes,Hwang Hee-Chan,p181284,p184754,579,481,11130,20337
46,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707761,87,substitution,"Substitution, Manchester United. Donny van de Beek replaces Christian Eriksen.","[11031, 4845]",Donny van de Beek,Christian Eriksen,p180184,p80607,336,519,11031,4845
47,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707746,80,substitution,"Substitution, Brentford. Frank Onyeka replaces Christian Nørgaard.","[108612, 42331]",Frank Onyeka,Christian Nørgaard,p428580,p128295,93,79,108612,42331
48,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707749,80,substitution,"Substitution, Brentford. Mads Bech Sørensen replaces Aaron Hickey.","[25540, 115166]",Mads Bech Sørensen,Aaron Hickey,p228044,p472713,91,510,25540,115166
49,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707738,74,substitution,"Substitution, Brentford. Shandon Baptiste replaces Mathias Jensen.","[24773, 49726]",Shandon Baptiste,Mathias Jensen,p432160,p207283,94,88,24773,49726
50,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707737,73,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",Yoane Wissa,Bryan Mbeumo,p216646,p446008,89,95,117497,66360
51,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707726,62,substitution,"Substitution, Brentford. Vitaly Janelt replaces Josh Dasilva.","[23194, 14457]",Vitaly Janelt,Josh Dasilva,p204580,p183656,86,83,23194,14457
52,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707724,60,substitution,"Substitution, Manchester United. Anthony Elanga replaces Jadon Sancho.","[49259, 14801]",Anthony Elanga,Jadon Sancho,p449434,p209243,344,340,49259,14801
53,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707712,46,substitution,"Substitution, Manchester United. Raphaël Varane replaces Lisandro Martínez.","[5782, 67191]",Raphaël Varane,Lisandro Martínez,p90152,p221820,329,533,5782,67191
54,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707711,46,substitution,"Substitution, Manchester United. Scott McTominay replaces Fred.","[14824, 5906]",Scott McTominay,Fred,p195851,p101582,338,331,14824,5906
55,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707710,46,substitution,"Substitution, Manchester United. Tyrell Malacia replaces Luke Shaw.","[23581, 4608]",Tyrell Malacia,Luke Shaw,p222690,p106760,504,332,23581,4608
56,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708375,85,substitution,"Substitution, West Ham United. Maxwel Cornet replaces Jarrod Bowen.","[16758, 8868]",Maxwel Cornet,Jarrod Bowen,p149519,p178186,575,465,16758,8868
57,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708373,84,substitution,"Substitution, Nottingham Forest. Cafú replaces Orel Mangala.","[7602, 49738]",Cafú,Orel Mangala,p166325,p179519,383,536,7602,49738
58,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708368,79,substitution,"Substitution, Nottingham Forest. Steve Cook replaces Moussa Niakhaté because of an injury.","[8045, 50862]",Steve Cook,Moussa Niakhaté,p56917,p199170,379,507,8045,50862
59,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708364,72,substitution,"Substitution, Nottingham Forest. Sam Surridge replaces Taiwo Awoniyi.","[13195, 15340]",Sam Surridge,Taiwo Awoniyi,p217331,p210156,391,397,13195,15340
60,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708361,68,substitution,"Substitution, West Ham United. Gianluca Scamacca replaces Michail Antonio.","[11434, 9595]",Gianluca Scamacca,Michail Antonio,p195899,p57531,529,458,11434,9595
61,2,"Sun 14 Aug 2022, 14:00 BST",Nottingham Forest,West Ham United,1,0,1708359,68,substitution,"Substitution, West Ham United. Manuel Lanzini replaces Pablo Fornals.","[13872, 25246]",Manuel Lanzini,Pablo Fornals,p86934,p217593,460,469,13872,25246
62,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708468,90,substitution,"Substitution, Chelsea. Armando Broja replaces Kai Havertz.","[31442, 20810]",Armando Broja,Kai Havertz,p440323,p219847,150,145,31442,20810
63,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708462,85,substitution,"Substitution, Chelsea. Christian Pulisic replaces Raheem Sterling.","[15559, 4316]",Christian Pulisic,Raheem Sterling,p176413,p103955,140,304,15559,4316
64,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708463,84,substitution,"Substitution, Chelsea. Conor Gallagher replaces N'Golo Kanté because of an injury.","[21887, 13492]",Conor Gallagher,N'Golo Kanté,p232787,p116594,148,134,21887,13492
65,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708459,82,substitution,"Substitution, Tottenham Hotspur. Lucas Moura replaces Emerson Royal.","[5762, 63654]",Lucas Moura,Emerson Royal,p95715,p241157,431,445,5762,63654
66,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708457,79,substitution,"Substitution, Tottenham Hotspur. Yves Bissouma replaces Rodrigo Bentancur.","[50245, 22802]",Yves Bissouma,Rodrigo Bentancur,p227127,p202993,444,440,50245,22802
67,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708458,79,substitution,"Substitution, Tottenham Hotspur. Ivan Perisic replaces Son Heung-Min.","[12901, 4999]",Ivan Perisic,Son Heung-Min,p45034,p85971,448,428,12901,4999
68,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708454,73,substitution,"Substitution, Chelsea. César Azpilicueta replaces Jorginho.","[4496, 5682]",César Azpilicueta,Jorginho,p41328,p85955,127,130,4496,5682
69,2,"Sun 14 Aug 2022, 16:30 BST",Chelsea,Tottenham Hotspur,2,2,1708438,57,substitution,"Substitution, Tottenham Hotspur. Richarlison replaces Ryan Sessegnon.","[24630, 14656]",Richarlison,Ryan Sessegnon,p212319,p184349,454,436,24630,14656
70,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708558,88,substitution,"Substitution, Crystal Palace. Michael Olise replaces Jeffrey Schlupp.","[32989, 8980]",Michael Olise,Jeffrey Schlupp,p443661,p86417,171,161,32989,8980
71,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708551,79,substitution,"Substitution, Liverpool. Fábio Carvalho replaces Harvey Elliott.","[32289, 33185]",Fábio Carvalho,Harvey Elliott,p244858,p444884,296,294,32289,33185
72,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708550,79,substitution,"Substitution, Crystal Palace. Luka Milivojevic replaces Eberechi Eze.","[5859, 21584]",Luka Milivojevic,Eberechi Eze,p66975,p232413,158,169,5859,21584
73,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708549,79,substitution,"Substitution, Crystal Palace. Chris Richards replaces Tyrick Mitchell.","[50842, 24334]",Chris Richards,Tyrick Mitchell,p427623,p244723,530,170,50842,24334
74,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708548,79,substitution,"Substitution, Crystal Palace. Will Hughes replaces Cheick Oumar Doucouré.","[8589, 126670]",Will Hughes,Cheick Oumar Doucouré,p108413,p438464,163,514,8589,126670
75,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708535,63,substitution,"Substitution, Crystal Palace. Odsonne Édouard replaces Jordan Ayew.","[16788, 5595]",Odsonne Édouard,Jordan Ayew,p199670,p80146,166,159,16788,5595
76,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708532,63,substitution,"Substitution, Liverpool. Joe Gomez replaces Nathaniel Phillips.","[10651, 14051]",Joe Gomez,Nathaniel Phillips,p171287,p197464,286,501,10651,14051
77,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708534,63,substitution,"Substitution, Liverpool. Jordan Henderson replaces James Milner.","[3712, 2100]",Jordan Henderson,James Milner,p56979,p15157,275,274,3712,2100
78,2,"Mon 15 Aug 2022, 20:00 BST",Liverpool,Crystal Palace,1,1,1708537,63,substitution,"Substitution, Liverpool. Kostas Tsimikas replaces Andrew Robertson.","[16006, 10458]",Kostas Tsimikas,Andrew Robertson,p214285,p122798,292,284,16006,10458
